,sentence_text,e1,e2,relation_type,normalized_sentence
15042,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,aspirin,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be OTHER_DRUG another_af salicylate_af magnesium/choline_af salicylate_af (Trilisate)_af ,_af salsalate_af (Disalcid_af ,_af others)_af ,_af choline_af salicylate_af (Arthropan)_af ,_af magnesium_af salicylate_af (Magan)_af ,_af bismuth_af subsalicylate_af (Pepto-Bismol);_af"
15043,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,salicylate,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be OTHER_DRUG magnesium/choline_af OTHER_DRUG (Trilisate)_af ,_af salsalate_af (Disalcid_af ,_af others)_af ,_af choline_af OTHER_DRUG (Arthropan)_af ,_af magnesium_af OTHER_DRUG (Magan)_af ,_af bismuth_af subsalicylate_af (Pepto-Bismol);_af"
15044,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,magnesium/choline salicylate,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15045,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,Trilisate,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15046,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,salsalate,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be OTHER_DRUG (Disalcid_af ,_af others)_af ,_af choline_af salicylate_af (Arthropan)_af ,_af magnesium_af salicylate_af (Magan)_af ,_af bismuth_af subsalicylate_af (Pepto-Bismol);_af"
15047,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,Disalcid,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15048,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,choline salicylate,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15049,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,Arthropan,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15050,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,magnesium salicylate,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15051,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,Magan,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15052,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,bismuth subsalicylate,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15053,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-Bismol);",glimepiride,Pepto-Bismol,advise,"Before_bf taking_bf DRUG ,_be tell_be doctor_be taking_be following_be medicines:_be -_be aspirin_be another_be salicylate_be magnesium/choline_be salicylate_be (Trilisate)_be ,_be salsalate_be (Disalcid_be ,_be others)_be ,_be choline_be salicylate_be (Arthropan)_be ,_be magnesium_be salicylate_be (Magan)_be ,_be bismuth_be subsalicylate_be (Pepto-Bismol);_be"
15873,"When initiating a multi-day course of grepafloxacin in a patient maintained on theophylline, the theophylline maintenance dose should be halved for the period of concurrent use of grepafloxacin and monitoring of serum theophylline concentrations should be initiated as a guide to further dosage adjustments.",theophylline,grepafloxacin,advise,"When_bf initiating_bf multi-day_bf course_bf OTHER_DRUG patient_be maintained_be DRUG ,_af DRUG maintenance_af dose_af halved_af period_af concurrent_af use_af OTHER_DRUG monitoring_af serum_af DRUG concentrations_af initiated_af guide_af dosage_af adjustments_af ._af"
15884,"However, because some quinolones have been reported to enhance the effects of warfarin or its derivatives, prothrombin time or other suitable anticoagulation test should be monitored closely if a quinolone antimicrobial is administered with warfarin or its derivatives.",quinolone antimicrobial,warfarin,advise,"However_bf ,_bf quinolones_bf reported_bf enhance_bf effects_bf OTHER_DRUG derivatives_be ,_be prothrombin_be time_be suitable_be anticoagulation_be test_be monitored_be closely_be quinolone_be antimicrobial_be administered_be OTHER_DRUG derivatives_af ._af"
15912,Patients on warfarin-type anticoagulant therapy may require dosage adjustment of the anticoagulant during and after griseofulvin therapy.,warfarin-type anticoagulant,griseofulvin,advise,Patients_bf warfarin-type_bf anticoagulant_bf therapy_bf may_bf require_bf dosage_bf adjustment_bf anticoagulant_bf OTHER_DRUG therapy_be ._be
16023,"Thus, careful monitoring of clinical status is warranted when rifampin is administered or discontinued in haloperidol-treated patients.",rifampin,haloperidol,advise,"Thus_bf ,_bf careful_bf monitoring_bf clinical_bf status_bf warranted_bf DRUG administered_be discontinued_be haloperidol-treated_be patients_be ._be"
16028,Caution should be exercised during the administration of adrenaline to patients anaesthetised with FLUOTHANE as arrhythmias may be precipitated.,adrenaline,FLUOTHANE,advise,Caution_bf exercised_bf administration_bf DRUG patients_be anaesthetised_be OTHER_DRUG arrhythmias_af may_af precipitated_af ._af
16039,"Therefore, when heparin sodium is given with dicumarol or warfarin sodium, a period of at least 5 hours after the last intravenous dose or 24 hours after the last subcutaneous dose should elapse before blood is drawn if a valid prothrombin time is to be obtained.",heparin sodium,dicumarol,advise,"Therefore_bf ,_bf heparin_bf sodium_bf given_bf OTHER_DRUG warfarin_be sodium_be ,_be period_be least_be 5_be hours_be last_be intravenous_be dose_be 24_be hours_be last_be subcutaneous_be dose_be elapse_be blood_be drawn_be valid_be prothrombin_be time_be obtained_be ._be"
16040,"Therefore, when heparin sodium is given with dicumarol or warfarin sodium, a period of at least 5 hours after the last intravenous dose or 24 hours after the last subcutaneous dose should elapse before blood is drawn if a valid prothrombin time is to be obtained.",heparin sodium,warfarin sodium,advise,"Therefore_bf ,_bf heparin_bf sodium_bf given_bf dicumarol_bf warfarin_bf sodium_bf ,_bf period_bf least_bf 5_bf hours_bf last_bf intravenous_bf dose_bf 24_bf hours_bf last_bf subcutaneous_bf dose_bf elapse_bf blood_bf drawn_bf valid_bf prothrombin_bf time_bf obtained_bf ._bf"
16079,"Thus in order to avoid bleeding, reduced dosage of heparin is recommended during treatment with antithrombin III (human).",heparin,antithrombin III,advise,"Thus_bf order_bf avoid_bf bleeding_bf ,_bf reduced_bf dosage_bf DRUG recommended_be treatment_be antithrombin_be III_be (human)_be ._be"
16135,MAO inhibitors should be used with caution in patients receiving hydralazine.,MAO inhibitors,hydralazine,advise,MAO_bf inhibitors_bf used_bf caution_bf patients_bf receiving_bf OTHER_DRUG ._be
16174,Lithium: generally should not be given with diuretics.,Lithium,diuretics,advise,Lithium:_bf generally_bf given_bf OTHER_DRUG ._be
16178,Refer to the package insert for lithium preparations before use of such preparations with Hydrochlorothiazide.,lithium,Hydrochlorothiazide,advise,Refer_bf package_bf insert_bf DRUG preparations_be use_be preparations_be OTHER_DRUG ._af
16189,"Therefore, when Hydrochlorothiazide and non-steroidal anti-inflammatory agents are used concomitantly, the patient should be observed closely to determine if the desired effect of the diuretic is obtained.",Hydrochlorothiazide,non-steroidal anti-inflammatory agents,advise,"Therefore_bf ,_bf DRUG non-steroidal_be anti-inflammatory_be agents_be used_be concomitantly_be ,_be patient_be observed_be closely_be determine_be desired_be effect_be diuretic_be obtained_be ._be"
16237,"for adult-onset diabetics, dosage adjustment of hypoglycemic medications may be necessary during and after thiazide diuretic therapy;",hypoglycemic medications,thiazide diuretic,advise,"adult-onset_bf diabetics_bf ,_bf dosage_bf adjustment_bf hypoglycemic_bf medications_bf may_bf necessary_bf thiazide_bf diuretic_bf therapy;_bf"
16245,"Therefore, when hydroflumethiazide and nonsteroidal anti-inflammatory agents are used concomitantly, the patient should be observed closely to determine if the desired effect of the diuretic is obtained.)",hydroflumethiazide,nonsteroidal anti-inflammatory agents,advise,"Therefore_bf ,_bf DRUG nonsteroidal_be anti-inflammatory_be agents_be used_be concomitantly_be ,_be patient_be observed_be closely_be determine_be desired_be effect_be diuretic_be obtained_be ._be )_be"
